-1.0f0, -1.6089907f-11
-0.7017017f0, 0.2904183f0
-0.7017017f0, -0.04022441f0
-0.7017017f0, 0.29040143f0
-0.6996997f0, -0.0412425f0
-0.6996997f0, 0.29200032f0
-0.6996997f0, -0.04120216f0
-0.6996997f0, 0.29201648f0
-0.6976977f0, -0.04224118f0
-0.6976977f0, 0.29359725f0
-0.6976977f0, -0.0422107f0
-0.6976977f0, 0.29360977f0
-0.6956957f0, -0.043256454f0
-0.6956957f0, 0.29517773f0
-0.6956957f0, -0.043190666f0
-0.6956957f0, 0.29520532f0
-0.6936937f0, -0.044167485f0
-0.6936937f0, 0.2967931f0
-0.6936937f0, -0.044238918f0
-0.6936937f0, 0.29676244f0
-0.6916917f0, -0.045217484f0
-0.6916917f0, 0.2983397f0
-0.6916917f0, -0.045159433f0
-0.6916917f0, 0.29836515f0
-0.6896897f0, -0.04619213f0
-0.6896897f0, 0.2999096f0
-0.6896897f0, -0.046125956f0
-0.6896897f0, 0.29993922f0
-0.6876877f0, -0.047180038f0
-0.6876877f0, 0.3014644f0
-0.6876877f0, -0.047065772f0
-0.6876877f0, 0.3015166f0
-0.6856857f0, -0.04812461f0
-0.6856857f0, 0.30303016f0
-0.6856857f0, -0.048028007f0
-0.6856857f0, 0.30307516f0
-0.6836837f0, -0.048957355f0
-0.6836837f0, 0.3046406f0
-0.6836837f0, -0.04907634f0
-0.6836837f0, 0.3045841f0
-0.6816817f0, -0.04987188f0
-0.6816817f0, 0.30620497f0
-0.6816817f0, -0.050038926f0
-0.6816817f0, 0.30612418f0
-0.6796797f0, -0.05078837f0
-0.6796797f0, 0.3077605f0
-0.6796797f0, -0.050985925f0
-0.6796797f0, 0.30766323f0
-0.6776777f0, -0.051647663f0
-0.6776777f0, 0.30933672f0
-0.6776777f0, -0.051973198f0
-0.6776777f0, 0.30917358f0
-0.6756757f0, -0.052494496f0
-0.6756757f0, 0.31091228f0
-0.6756757f0, -0.05296022f0
-0.6756757f0, 0.31067488f0
-0.6736737f0, -0.054169003f0
-0.6736737f0, 0.3120512f0
-0.6736737f0, -0.053119406f0
-0.6736737f0, 0.31259528f0
-0.6716717f0, -0.059153687f0
-0.6716717f0, 0.3113286f0
-0.6716717f0, -0.04974616f0
-0.6716717f0, 0.31627563f0
-0.6696697f0, -0.06856045f0
-0.6696697f0, 0.30756092f0
-0.6696697f0, -0.040597484f0
-0.6696697f0, 0.3222869f0
-0.6676677f0, -0.07422733f0
-0.6676677f0, 0.30569598f0
-0.6676677f0, -0.035060223f0
-0.6676677f0, 0.32632726f0
-0.6656657f0, -0.07862167f0
-0.6656657f0, 0.30449975f0
-0.6656657f0, -0.030791499f0
-0.6656657f0, 0.32969934f0
-0.6636637f0, -0.08236175f0
-0.6636637f0, 0.30364373f0
-0.6636637f0, -0.027167983f0
-0.6636637f0, 0.33272618f0
-0.6616617f0, -0.085649386f0
-0.6616617f0, 0.3030312f0
-0.6616617f0, -0.024005938f0
-0.6616617f0, 0.33551854f0
-0.6596597f0, -0.08862578f0
-0.6596597f0, 0.30258438f0
-0.6596597f0, -0.021157848f0
-0.6596597f0, 0.33814925f0
-0.6576577f0, -0.09139107f0
-0.6576577f0, 0.3022421f0
-0.6576577f0, -0.018507866f0
-0.6576577f0, 0.3406653f0
-0.6556557f0, -0.0939394f0
-0.6556557f0, 0.3020253f0
-0.6556557f0, -0.016095415f0
-0.6556557f0, 0.34307575f0
-0.6536537f0, -0.0963389f0
-0.6536537f0, 0.30188715f0
-0.6536537f0, -0.0138319405f0
-0.6536537f0, 0.3454093f0
-0.6516517f0, -0.09860975f0
-0.6516517f0, 0.3018186f0
-0.6516517f0, -0.011700196f0
-0.6516517f0, 0.3476778f0
-0.6496496f0, -0.10076161f0
-0.6496496f0, 0.30181834f0
-0.6496496f0, -0.009697688f0
-0.6496496f0, 0.34988964f0
-0.6476476f0, -0.102839656f0
-0.6476476f0, 0.30184987f0
-0.6476476f0, -0.0077553242f0
-0.6476476f0, 0.3520577f0
-0.6456456f0, -0.10483193f0
-0.6456456f0, 0.30192888f0
-0.6456456f0, -0.0059028952f0
-0.6456456f0, 0.35418364f0
-0.6436436f0, -0.10674096f0
-0.6436436f0, 0.3020574f0
-0.6436436f0, -0.004144157f0
-0.6436436f0, 0.35627222f0
-0.6416416f0, -0.10859799f0
-0.6416416f0, 0.30220813f0
-0.6416416f0, -0.0024275247f0
-0.6416416f0, 0.35832947f0
-0.6396396f0, -0.11039274f0
-0.6396396f0, 0.30239415f0
-0.6396396f0, -0.00077769917f0
-0.6396396f0, 0.3603574f0
-0.6376376f0, -0.11213554f0
-0.6376376f0, 0.3026077f0
-0.6376376f0, 0.00082001707f0
-0.6376376f0, 0.36235908f0
-0.6356356f0, -0.11381412f0
-0.6356356f0, 0.3028639f0
-0.6356356f0, 0.0023368818f0
-0.6356356f0, 0.3643376f0
-0.6336336f0, -0.115451515f0
-0.6336336f0, 0.30314118f0
-0.6336336f0, 0.0038138323f0
-0.6336336f0, 0.3662951f0
-0.6336336f0, -0.11545917f0
-0.6336336f0, 0.30313307f0
-0.6336336f0, 0.0038291889f0
-0.6336336f0, 0.36629453f0
-0.6316316f0, -0.11704781f0
-0.6316316f0, 0.30344114f0
-0.6316316f0, 0.005247777f0
-0.6316316f0, 0.36823344f0
-0.6296296f0, -0.11860899f0
-0.6296296f0, 0.30375898f0
-0.6296296f0, 0.0066477824f0
-0.6296296f0, 0.37015384f0
-0.6276276f0, -0.12014903f0
-0.6276276f0, 0.30408078f0
-0.6276276f0, 0.0080402065f0
-0.6276276f0, 0.37205565f0
-0.6256256f0, -0.12164848f0
-0.6256256f0, 0.30442902f0
-0.6256256f0, 0.009382514f0
-0.6256256f0, 0.37394312f0
-0.6256256f0, -0.1216281f0
-0.6256256f0, 0.3044516f0
-0.6256256f0, 0.0093397f0
-0.6256256f0, 0.37394702f0
-0.6236236f0, -0.12308964f0
-0.6236236f0, 0.30482504f0
-0.6236236f0, 0.01063424f0
-0.6236236f0, 0.3758224f0
-0.6216216f0, -0.12454023f0
-0.6216216f0, 0.3051943f0
-0.6216216f0, 0.01193658f0
-0.6216216f0, 0.37768045f0
-0.6216216f0, -0.124513835f0
-0.6216216f0, 0.30522415f0
-0.6216216f0, 0.011879998f0
-0.6216216f0, 0.37768707f0
-0.6196196f0, -0.12590508f0
-0.6196196f0, 0.30564526f0
-0.6196196f0, 0.013083984f0
-0.6196196f0, 0.3795419f0
-0.6196196f0, -0.12593335f0
-0.6196196f0, 0.30561295f0
-0.6196196f0, 0.013145176f0
-0.6196196f0, 0.37953404f0
-0.6176176f0, -0.12730558f0
-0.6176176f0, 0.30604085f0
-0.6176176f0, 0.014336215f0
-0.6176176f0, 0.38137582f0
-0.6156156f0, -0.12862581f0
-0.6156156f0, 0.3065149f0
-0.6156156f0, 0.015439728f0
-0.6156156f0, 0.38321698f0
-0.6156156f0, -0.1286641f0
-0.6156156f0, 0.30647036f0
-0.6156156f0, 0.015524131f0
-0.6156156f0, 0.3832042f0
-0.6136136f0, -0.12996806f0
-0.6136136f0, 0.30694988f0
-0.6136136f0, 0.016617112f0
-0.6136136f0, 0.38503426f0
-0.6116116f0, -0.13129427f0
-0.6116116f0, 0.30739027f0
-0.6116116f0, 0.017784134f0
-0.6116116f0, 0.38683984f0
-0.6116116f0, -0.13127147f0
-0.6116116f0, 0.3074172f0
-0.6116116f0, 0.017733047f0
-0.6116116f0, 0.38684872f0
-0.6096096f0, -0.13254268f0
-0.6096096f0, 0.30791026f0
-0.6096096f0, 0.018800216f0
-0.6096096f0, 0.38865998f0
-0.6096096f0, -0.13258028f0
-0.6096096f0, 0.30786544f0
-0.6096096f0, 0.018885188f0
-0.6096096f0, 0.38864434f0
-0.6076076f0, -0.13378482f0
-0.6076076f0, 0.30842614f0
-0.6076076f0, 0.019823879f0
-0.6076076f0, 0.39046863f0
-0.6076076f0, -0.13386074f0
-0.6076076f0, 0.30833498f0
-0.6076076f0, 0.01999681f0
-0.6076076f0, 0.39043495f0
-0.6056056f0, -0.13512918f0
-0.6056056f0, 0.3088069f0
-0.6056056f0, 0.0211038f0
-0.6056056f0, 0.39221445f0
-0.6056056f0, -0.13502014f0
-0.6056056f0, 0.3089389f0
-0.6056056f0, 0.020853436f0
-0.6056056f0, 0.39226583f0
-0.6036036f0, -0.13635528f0
-0.6036036f0, 0.30931866f0
-0.6036036f0, 0.022135125f0
-0.6036036f0, 0.39399844f0
-0.6036036f0, -0.13624126f0
-0.6036036f0, 0.30945772f0
-0.6036036f0, 0.021871358f0
-0.6036036f0, 0.3940552f0
-0.6016016f0, -0.1375406f0
-0.6016016f0, 0.30986956f0
-0.6016016f0, 0.02309214f0
-0.6016016f0, 0.3957889f0
-0.6016016f0, -0.1374664f0
-0.6016016f0, 0.3099607f0
-0.6016016f0, 0.02291924f0
-0.6016016f0, 0.39582777f0
-0.5995996f0, -0.13834351f0
-0.5995996f0, 0.31088278f0
-0.5995996f0, 0.023171855f0
-0.5995996f0, 0.39777288f0
-0.5995996f0, -0.13903123f0
-0.5995996f0, 0.31003213f0
-0.5995996f0, 0.024785716f0
-0.5995996f0, 0.3973947f0
-0.5975976f0, -0.14308907f0
-0.5975976f0, 0.30694583f0
-0.5975976f0, 0.032640796f0
-0.5975976f0, 0.39719543f0
-0.5975976f0, -0.13599211f0
-0.5975976f0, 0.31576723f0
-0.5975976f0, 0.015903119f0
-0.5975976f0, 0.4011639f0
-0.5955956f0, -0.14581706f0
-0.5955956f0, 0.30546135f0
-0.5955956f0, 0.037456512f0
-0.5955956f0, 0.39755332f0
-0.5955956f0, -0.134633f0
-0.5955956f0, 0.31941685f0
-0.5955956f0, 0.010975773f0
-0.5955956f0, 0.4038143f0
-0.5935936f0, -0.14794016f0
-0.5935936f0, 0.30471393f0
-0.5935936f0, 0.040874787f0
-0.5935936f0, 0.39825317f0
-0.5935936f0, -0.13388723f0
-0.5935936f0, 0.32231712f0
-0.5935936f0, 0.0074710166f0
-0.5935936f0, 0.40613294f0
-0.5915916f0, -0.14977689f0
-0.5915916f0, 0.30431217f0
-0.5915916f0, 0.043637913f0
-0.5915916f0, 0.3991209f0
-0.5915916f0, -0.13344117f0
-0.5915916f0, 0.32485446f0
-0.5915916f0, 0.004656105f0
-0.5915916f0, 0.4083022f0
-0.5895896f0, -0.15146118f0
-0.5895896f0, 0.3040896f0
-0.5895896f0, 0.04606152f0
-0.5895896f0, 0.4000681f0
