1.7866867f0, 1.1839127f-28
1.7874875f0, 1.6617895f-28
1.7882882f0, 2.3313382f-28
1.7890891f0, 3.2689413f-28
1.7898899f0, 4.5812187f-28
1.7906907f0, 6.4169184f-28
1.7914915f0, 8.98345f-28
1.7922922f0, 1.256986f-27
1.7930931f0, 1.7578746f-27
1.7938939f0, 2.4570562f-27
1.7946947f0, 3.432507f-27
1.7954955f0, 4.7926597f-27
1.7962962f0, 6.68821f-27
1.7970971f0, 9.328482f-27
1.7978979f0, 1.3004068f-26
1.7986987f0, 1.8118167f-26
1.7994995f0, 2.5229896f-26
1.8003004f0, 3.5114165f-26
1.8011011f0, 4.8844357f-26
1.8019019f0, 6.7906453f-26
1.8027027f0, 9.4356503f-26
1.8035035f0, 1.3103767f-25
1.8043044f0, 1.818794f-25
1.8051051f0, 2.5230932f-25
1.8059059f0, 3.4982032f-25
1.8067067f0, 4.8475034f-25
1.8075075f0, 6.7135465f-25
1.8083084f0, 9.29279f-25
1.8091091f0, 1.2855823f-24
1.8099099f0, 1.7775127f-24
1.8107107f0, 2.4563149f-24
1.8115115f0, 3.3924482f-24
1.8123124f0, 4.682737f-24
1.8131131f0, 6.4601555f-24
1.813914f0, 8.907222f-24
1.8147147f0, 1.227431f-23
1.8155155f0, 1.690467f-23
1.8163164f0, 2.3268618f-23
1.8171171f0, 3.2010177f-23
1.817918f0, 4.4010727f-23
1.8187187f0, 6.0475756f-23
1.8195195f0, 8.305309f-23
1.8203204f0, 1.1399381f-22
1.8211211f0, 1.5637133f-22
1.821922f0, 2.143792f-22
1.8227227f0, 2.9373603f-22
1.8235235f0, 4.0223523f-22
1.8243244f0, 5.504916f-22
1.8251251f0, 7.529535f-22
1.825926f0, 1.0292762f-21
1.8267267f0, 1.4061812f-21
1.8275275f0, 1.9199745f-21
1.8283284f0, 2.6199544f-21
1.8291291f0, 3.5730196f-21
1.82993f0, 4.8698966f-21
1.8307307f0, 6.63355f-21
1.8315315f0, 9.030534f-21
1.8323324f0, 1.2286304f-20
1.8331331f0, 1.6705858f-20
1.833934f0, 2.270153f-20
1.8347347f0, 3.083043f-20
1.8355355f0, 4.184479f-20
1.8363364f0, 5.675965f-20
1.8371371f0, 7.694381f-20
1.837938f0, 1.0424197f-19
1.8387387f0, 1.4113856f-19
1.8395395f0, 1.9097739f-19
1.8403404f0, 2.5825618f-19
1.8411411f0, 3.490206f-19
1.841942f0, 4.7139193f-19
1.8427428f0, 6.3627245f-19
1.8435435f0, 8.5828814f-19
1.8443444f0, 1.1570477f-18
1.8451451f0, 1.5588226f-18
1.845946f0, 2.0987876f-18
1.8467468f0, 2.8240068f-18
1.8475475f0, 3.797411f-18
1.8483484f0, 5.1030877f-18
1.8491491f0, 6.8533233f-18
1.84995f0, 9.197953f-18
1.8507508f0, 1.2336785f-17
1.8515515f0, 1.6536085f-17
1.8523524f0, 2.2150436f-17
1.8531531f0, 2.9651715f-17
1.853954f0, 3.966745f-17
1.8547548f0, 5.3031598f-17
1.8555555f0, 7.085167f-17
1.8563564f0, 9.459745f-17
1.8571571f0, 1.262181f-16
1.857958f0, 1.6829675f-16
1.8587588f0, 2.2425422f-16
1.8595595f0, 2.9861755f-16
1.8603604f0, 3.973733f-16
1.8611611f0, 5.284327f-16
1.861962f0, 7.022426f-16
1.8627628f0, 4.0f-45
1.8635635f0, 1.1f-44
1.8643644f0, 2.5f-44
1.8651651f0, 6.0f-44
1.865966f0, 1.4f-43
1.8667668f0, 3.25f-43
1.8675675f0, 7.52f-43
1.8683684f0, 1.738f-42
1.8691691f0, 4.004f-42
1.86997f0, 9.21f-42
1.8707708f0, 2.1133f-41
1.8715715f0, 4.8397f-41
1.8723724f0, 1.10595f-40
1.8731731f0, 2.52186f-40
1.873974f0, 5.73819f-40
1.8747748f0, 1.302839f-39
1.8755755f0, 2.95165f-39
1.8763764f0, 6.672573f-39
1.8771771f0, 1.5051222f-38
1.877978f0, 3.387632f-38
1.8787788f0, 7.6078624f-38
1.8795795f0, 1.7047739f-37
1.8803804f0, 3.8115744f-37
1.8811812f0, 8.502983f-37
1.881982f0, 1.8926187f-36
1.8827828f0, 4.203156f-36
1.8835835f0, 9.313309f-36
1.8843844f0, 2.0589422f-35
1.8851852f0, 4.5414174f-35
